channel,estimated_roi,target_channel,roi_prior_mu,roi_prior_sigma,roi_prior_dist,baseline_mu,baseline_sigma,baseline_roi,baseline_run_id,baseline_qc_status,baseline_qc_pass,baseline_sign_flip_zone,baseline_local_neighbor_n,baseline_local_volatility_ratio,pct_metric_reliable,pct_metric_unstable_reason,pct_change_raw,baseline_roi_for_rank,pct_source_row,abs_pct_change_raw,abs_delta_roi,pct_change,abs_pct_change,prior_neg_prob,prior_guardrail_pass
meta,0.33765638,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-67.12770283498614,1.0271761,fallback_baseline,67.12770283498614,0.68951972,-67.12770283498614,67.12770283498614,0.0,1.0
meta,1.0359895,meta,0.036328,0.023411,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,0.858022300168391,1.0271761,fallback_baseline,0.858022300168391,0.008813399999999971,0.858022300168391,0.858022300168391,0.0,1.0
meta,0.9378389,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-8.697359683505088,1.0271761,fallback_baseline,8.697359683505088,0.0893371999999999,-8.697359683505088,8.697359683505088,0.0,1.0
meta,0.036843438,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-96.4131332494983,1.0271761,fallback_baseline,96.4131332494983,0.9903326619999999,-96.4131332494983,96.4131332494983,0.0,1.0
meta,0.07822954,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-92.38401867021632,1.0271761,fallback_baseline,92.38401867021632,0.9489465599999999,-92.38401867021632,92.38401867021632,0.0,1.0
meta,0.13664809,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-86.69672220761366,1.0271761,fallback_baseline,86.69672220761366,0.8905280099999999,-86.69672220761366,86.69672220761366,0.0,1.0
meta,0.22306398,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-78.28376458525466,1.0271761,fallback_baseline,78.28376458525466,0.8041121199999999,-78.28376458525466,78.28376458525466,0.0,1.0
meta,0.24022806,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-76.6127677620225,1.0271761,fallback_baseline,76.6127677620225,0.78694804,-76.6127677620225,76.6127677620225,0.0,1.0
meta,0.3692481,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-64.05211336206128,1.0271761,fallback_baseline,64.05211336206128,0.6579279999999998,-64.05211336206128,64.05211336206128,0.0,1.0
meta,0.91211396,meta,0.036328,0.033445,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,-11.201792954489491,1.0271761,fallback_baseline,11.201792954489491,0.11506213999999992,-11.201792954489491,11.201792954489491,0.0,1.0
meta,1.0503736,meta,0.051898,0.006689,LogNormal,0.051898,0.016722,1.0271761,,,True,False,4,0.9007452470905427,True,,2.2583761440711076,1.0271761,fallback_baseline,2.2583761440711076,0.023197499999999982,2.2583761440711076,2.2583761440711076,0.0,1.0
